Date,Temperature [°C],Relative Humidity [%],Solar Radiation [W/m2],Power [kW],Power-1 [kW],Hour,DayOfWeek,XGB Predicted Power [kW],GB Predicted Power [kW],Linear Predicted Power [kW],Neural Predicted Power [kW],Decision Tree Predicted Power [kW],Random Forest Predicted Power [kW],Bootstrapping Predicted Power [kW]
2019-02-26 05:00:00,11.19166667,67.17333333,3.757,62.526,50.913,5,1,53.837025,54.627708232013624,54.83211439320918,54.83211439320931,62.173199999999994,61.32054722454515,61.11999999999999
2019-02-26 06:00:00,10.40083333,68.99583333,4.774333333,59.81,62.526,6,1,65.104675,60.17281578209896,56.911137027238055,56.91113702723818,60.647875000000006,60.36706410068519,60.05709999999999
2019-02-26 07:00:00,10.14416667,66.47083333,26.17983333,100.917,59.81,7,1,96.138016,101.59178489498355,104.65852677153849,104.65852677153853,104.06266666666666,101.63767878097464,101.9746
2019-02-26 08:00:00,10.125,64.72083333,101.1966667,139.865,100.917,8,1,144.31686,137.66855026056868,133.71705189582408,133.71705189582417,136.27357142857142,136.9573843282734,139.27
2019-02-26 09:00:00,11.1075,58.27083333,341.925,161.128,139.865,9,1,177.54816,162.19653247410906,153.06195544023973,153.06195544023976,159.8188,160.06319795729868,160.05549999999994
2019-02-26 10:00:00,12.24916667,53.54,527.4833333,222.466,161.128,10,1,215.6135,220.17222933289764,222.9594396841095,222.95943968410938,223.3335,222.90016978338016,222.45459999999994
2019-02-26 11:00:00,13.49333333,51.10166667,669.0666667,296.358,222.466,11,1,266.3782,277.5666310607859,284.48822120320824,284.488221203208,295.1197142857142,294.0330922946056,296.85880000000003
2019-02-26 12:00:00,15.93166667,42.30916667,693.5333333,263.336,296.358,12,1,282.84625,280.83046866418175,280.3563401486924,280.35634014869237,272.528,273.263660555667,263.6887
2019-02-26 13:00:00,17.31166667,33.46166667,601.5333333,258.319,263.336,13,1,265.35178,270.4920016574811,274.6938284463115,274.6938284463114,266.14433333333335,266.511764088239,259.1946
2019-02-26 14:00:00,18.4925,29.26416667,519.4583333,272.083,258.319,14,1,259.56668,258.91196367459736,260.0452213721635,260.0452213721634,268.7205714285714,267.5586473198744,269.26120000000003
